"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655","Удаление без ID курьера – ошибка","tests","2026-05-15","passed","2026-05-15","TestDeleteCourier","Удаление курьера","",""
"","1012","Запрос с несуществующим track – ошибка","tests","2026-05-15","passed","2026-05-15","TestGetOrderByTrack","Получение заказа по номеру","",""
"","2190","Успешное удаление курьера","tests","2026-05-15","passed","2026-05-15","TestDeleteCourier","Удаление курьера","",""
"","1344","Принятие заказа с неверным ID курьера – ошибка","tests","2026-05-15","passed","2026-05-15","TestAcceptOrder","Принятие заказа","",""
"","1307","Успешное получение заказа по track","tests","2026-05-15","passed","2026-05-15","TestGetOrderByTrack","Получение заказа по номеру","",""
"","632","Принятие заказа без ID заказа – ошибка","tests","2026-05-15","passed","2026-05-15","TestAcceptOrder","Принятие заказа","",""
"","644","Создание заказа с разными вариантами цвета","tests","2026-05-15","passed","2026-05-15","TestCreateOrder","Создание заказа","",""
"","635","Несуществующий пользователь – ошибка","tests","2026-05-15","passed","2026-05-15","TestLoginCourier","Логин курьера","",""
"","647","Обязательные поля логин, пароль – без одного из них ошибка","tests","2026-05-15","passed","2026-05-15","TestCreateCourier","Создание курьера","",""
"","643","Для авторизации нужны оба поля","tests","2026-05-15","passed","2026-05-15","TestLoginCourier","Логин курьера","",""
"","656","Курьера можно создать","tests","2026-05-15","passed","2026-05-15","TestCreateCourier","Создание курьера","",""
"","647","Принятие заказа с неверным ID заказа – ошибка","tests","2026-05-15","passed","2026-05-15","TestAcceptOrder","Принятие заказа","",""
"","626","Обязательные поля логин, пароль – без одного из них ошибка","tests","2026-05-15","passed","2026-05-15","TestCreateCourier","Создание курьера","",""
"","14913","Тело ответа содержит список заказов","tests","2026-05-15","passed","2026-05-15","TestOrdersList","Список заказов","",""
"","648","Создание заказа с разными вариантами цвета","tests","2026-05-15","passed","2026-05-15","TestCreateOrder","Создание заказа","",""
"","670","Нельзя создать двух одинаковых курьеров","tests","2026-05-15","passed","2026-05-15","TestCreateCourier","Создание курьера","",""
"","1344","Принятие заказа без ID курьера – ошибка","tests","2026-05-15","passed","2026-05-15","TestAcceptOrder","Принятие заказа","",""
"","648","Курьер может авторизоваться","tests","2026-05-15","passed","2026-05-15","TestLoginCourier","Логин курьера","",""
"","631","Создание заказа с разными вариантами цвета","tests","2026-05-15","passed","2026-05-15","TestCreateOrder","Создание заказа","",""
"","655","Ошибка при неверном логине или пароле","tests","2026-05-15","passed","2026-05-15","TestLoginCourier","Логин курьера","",""
"","629","Запрос без номера заказа – ошибка","tests","2026-05-15","passed","2026-05-15","TestGetOrderByTrack","Получение заказа по номеру","",""
"","615","Удаление с несуществующим ID – ошибка","tests","2026-05-15","passed","2026-05-15","TestDeleteCourier","Удаление курьера","",""
"","642","Создание курьера с уже существующим логином возвращает ошибку","tests","2026-05-15","passed","2026-05-15","TestCreateCourier","Создание курьера","",""
"","659","Создание заказа с разными вариантами цвета","tests","2026-05-15","passed","2026-05-15","TestCreateOrder","Создание заказа","",""
"","1326","Успешное принятие заказа","tests","2026-05-15","passed","2026-05-15","TestAcceptOrder","Принятие заказа","",""
"","616","Ошибка при неверном логине или пароле","tests","2026-05-15","passed","2026-05-15","TestLoginCourier","Логин курьера","",""
"","0","Для авторизации нужны оба поля","tests","2026-05-15","skipped","2026-05-15","TestLoginCourier","Логин курьера","",""
